Day,Timeslot,Location,Purpose,Start,End
Tu,6:40PM - 7:45PM,McHenry Clrm 1279,Discussion,6:40PM ,7:45PM
We,5:20PM - 6:25PM,McHenry Clrm 1270,Discussion,5:20PM ,6:25PM
Th,8:30AM - 9:35AM,McHenry Clrm 1270,Discussion,8:30AM ,9:35AM
We,4:00PM - 5:05PM,McHenry Clrm 1279,Discussion,4:00PM ,5:05PM
We,5:20PM - 6:25PM,McHenry Clrm 1279,Discussion,5:20PM ,6:25PM
Th,3:20PM - 4:25PM,McHenry Clrm 1270,Discussion,3:20PM ,4:25PM
Th,5:20PM - 6:25PM,McHenry Clrm 1270,Discussion,5:20PM ,6:25PM
Fr,9:20AM - 10:25AM,McHenry Clrm 1270,Discussion,9:20AM ,10:25AM
Th,8:30AM - 9:35AM,McHenry Clrm 1279,Discussion,8:30AM ,9:35AM
Fr,9:20AM - 10:25AM,McHenry Clrm 1279,Discussion,9:20AM ,10:25AM
Tu,11:40AM - 12:45PM,McHenry Clrm 1270,Discussion,11:40AM ,12:45PM
Th,5:20PM - 6:25PM,McHenry Clrm 1279,Discussion,5:20PM ,6:25PM
MoWeFr,9:20AM - 10:25AM,Steven Acad 175,Lecture,9:20AM ,10:25AM
MoWeFr,1:20PM - 2:25PM,Humn Lecture Hall,Lecture,1:20PM ,2:25PM
Tu,8:00AM - 9:05AM,Cowell Clrm 131,Discussion,8:00AM ,9:05AM
We,4:00PM - 5:05PM,Cowell Clrm 131,Discussion,4:00PM ,5:05PM
We,2:40PM - 3:45PM,Cowell Clrm 131,Discussion,2:40PM ,3:45PM
We,1:00PM - 2:00PM,BE 365B,Office Hours,1:00PM ,2:00PM
Fr,1:00PM - 2:00PM,BE 365B,Tutoring,1:00PM ,2:00PM
